Date,Bonus Cat: Workout,Bonus Cat: Lazy get,Hostility: Bonus Cat Hiss,Shared: Social snacks,Shared: Group Meal,Shared: Turf Swap,Hostility: Dr. Wily Attack,Dr. Wily: Workout,Dr. Wily: Walk outside,Dr. Wily: Lazy gets
6/25/2013,1,0,,0,2,0,0,1,1,0
6/26/2013,0,2,,0,1,0,0,1,0,0
6/27/2013,0,1,,0,1,0,1,1,0,0
6/28/2013,0,1,,1,2,0,0,0,1,0
6/29/2013,0,1,,0,2,0,0,2,1,1
6/30/2013,0,2,,1,1,0,0,1,1,1
7/1/2013,0,1,,0,1,0,0,1,0,1
7/2/2013,1,0,1,1,1,0,0,1,1,1
7/3/2013,0,1,1,1,1,0,0,1,1,1
7/4/2013,0,1,0,0,1,0,0,1,0,0
7/5/2013,0,1,0,0,1,0,0,1,0,0
7/6/2013,1,1,0,0,1,1,0,1,1,0
7/7/2013,,,,,1,,,,,1